# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	9.135968e-03	2.266288e-02	7.805548e-04	9.526246e-03	-8.745691e-03
1             	5.700928e-01	1.341113e+00	-4.023305e-02	5.499763e-01	-5.902094e-01
2             	6.518820e-01	1.526700e+00	-5.429972e-02	6.247321e-01	-6.790319e-01
3             	5.709038e-01	1.333627e+00	-3.967369e-02	5.510669e-01	-5.907406e-01
4             	4.630944e-01	1.085201e+00	-2.821052e-02	4.489891e-01	-4.771996e-01
5             	3.735774e-01	8.824715e-01	-1.747522e-02	3.648397e-01	-3.823150e-01
6             	3.060879e-01	7.308286e-01	-3.492506e-03	3.043416e-01	-3.078342e-01
7             	2.589182e-01	6.247088e-01	7.368361e-03	2.626024e-01	-2.552340e-01
8             	2.272987e-01	5.546530e-01	1.269718e-02	2.336473e-01	-2.209501e-01
9             	2.071161e-01	5.103294e-01	1.552002e-02	2.148761e-01	-1.993561e-01
10            	1.938137e-01	4.818464e-01	1.794041e-02	2.027839e-01	-1.848435e-01
11            	1.852347e-01	4.630492e-01	2.101735e-02	1.957433e-01	-1.747260e-01
12            	1.800572e-01	4.506725e-01	2.592671e-02	1.930206e-01	-1.670939e-01
13            	1.775369e-01	4.429090e-01	3.129188e-02	1.931828e-01	-1.618909e-01
14            	1.772302e-01	4.390043e-01	3.685482e-02	1.956576e-01	-1.588028e-01
15            	1.775622e-01	4.362944e-01	4.252262e-02	1.988235e-01	-1.563008e-01
16            	1.777902e-01	4.337014e-01	4.762657e-02	2.016034e-01	-1.539769e-01
17            	1.780107e-01	4.317891e-01	5.160355e-02	2.038125e-01	-1.522089e-01
18            	1.783952e-01	4.309346e-01	5.377877e-02	2.052846e-01	-1.515058e-01
19            	1.787063e-01	4.302196e-01	5.418439e-02	2.057985e-01	-1.516141e-01
