# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
67            	1.596049e-01	4.146551e-01	6.607574e-02	1.926427e-01	-1.265670e-01
68            	1.595782e-01	4.146683e-01	6.594460e-02	1.925505e-01	-1.266059e-01
69            	1.594916e-01	4.146996e-01	6.582576e-02	1.924045e-01	-1.265788e-01
70            	1.594371e-01	4.146932e-01	6.585148e-02	1.923628e-01	-1.265114e-01
71            	1.593310e-01	4.147277e-01	6.585543e-02	1.922587e-01	-1.264032e-01
72            	1.592903e-01	4.147486e-01	6.593045e-02	1.922555e-01	-1.263251e-01
73            	1.592493e-01	4.148793e-01	6.598352e-02	1.922411e-01	-1.262576e-01
74            	1.593092e-01	4.150259e-01	6.611823e-02	1.923684e-01	-1.262501e-01
75            	1.593655e-01	4.152120e-01	6.627596e-02	1.925035e-01	-1.262275e-01
76            	1.595020e-01	4.154009e-01	6.648966e-02	1.927468e-01	-1.262572e-01
77            	1.596307e-01	4.156289e-01	6.671931e-02	1.929903e-01	-1.262710e-01
78            	1.598189e-01	4.159249e-01	6.688854e-02	1.932632e-01	-1.263746e-01
79            	1.599518e-01	4.162147e-01	6.705850e-02	1.934810e-01	-1.264225e-01
80            	1.600603e-01	4.164270e-01	6.718513e-02	1.936529e-01	-1.264677e-01
81            	1.600931e-01	4.166016e-01	6.727774e-02	1.937320e-01	-1.264543e-01
82            	1.601217e-01	4.166878e-01	6.733494e-02	1.937891e-01	-1.264542e-01
83            	1.600654e-01	4.167301e-01	6.730846e-02	1.937196e-01	-1.264111e-01
84            	1.599779e-01	4.166472e-01	6.719315e-02	1.935745e-01	-1.263813e-01
85            	1.598357e-01	4.165338e-01	6.704020e-02	1.933558e-01	-1.263156e-01
86            	1.597293e-01	4.163714e-01	6.686406e-02	1.931613e-01	-1.262972e-01
87            	1.596333e-01	4.162780e-01	6.667235e-02	1.929695e-01	-1.262971e-01
88            	1.595897e-01	4.161825e-01	6.644101e-02	1.928102e-01	-1.263692e-01
89            	1.595950e-01	4.162020e-01	6.623477e-02	1.927123e-01	-1.264776e-01
90            	1.596302e-01	4.162646e-01	6.599551e-02	1.926279e-01	-1.266324e-01
91            	1.596778e-01	4.163786e-01	6.586702e-02	1.926113e-01	-1.267443e-01
92            	1.597315e-01	4.164791e-01	6.579174e-02	1.926273e-01	-1.268356e-01
93            	1.597442e-01	4.165853e-01	6.577424e-02	1.926314e-01	-1.268571e-01
94            	1.597135e-01	4.166382e-01	6.577511e-02	1.926010e-01	-1.268259e-01
95            	1.595778e-01	4.165548e-01	6.582280e-02	1.924892e-01	-1.266664e-01
96            	1.593673e-01	4.163432e-01	6.585353e-02	1.922941e-01	-1.264406e-01
97            	1.590817e-01	4.159603e-01	6.599268e-02	1.920780e-01	-1.260853e-01
98            	1.587763e-01	4.155198e-01	6.613058e-02	1.918416e-01	-1.257110e-01
99            	1.584205e-01	4.149644e-01	6.630314e-02	1.915721e-01	-1.252689e-01
100           	1.581110e-01	4.144381e-01	6.645592e-02	1.913390e-01	-1.248830e-01
101           	1.578440e-01	4.139310e-01	6.660571e-02	1.911468e-01	-1.245411e-01
102           	1.576921e-01	4.135303e-01	6.670131e-02	1.910428e-01	-1.243415e-01
103           	1.575915e-01	4.132002e-01	6.674699e-02	1.909650e-01	-1.242180e-01
104           	1.576089e-01	4.129562e-01	6.677616e-02	1.909970e-01	-1.242208e-01
105           	1.576506e-01	4.128173e-01	6.672156e-02	1.910114e-01	-1.242899e-01
106           	1.577180e-01	4.126727e-01	6.665106e-02	1.910435e-01	-1.243925e-01
107           	1.577383e-01	4.125683e-01	6.654615e-02	1.910114e-01	-1.244652e-01
108           	1.577439e-01	4.124388e-01	6.642486e-02	1.909564e-01	-1.245315e-01
109           	1.577020e-01	4.123295e-01	6.635546e-02	1.908797e-01	-1.245243e-01
110           	1.576101e-01	4.122087e-01	6.627955e-02	1.907499e-01	-1.244704e-01
111           	1.574644e-01	4.120977e-01	6.630025e-02	1.906145e-01	-1.243143e-01
112           	1.573016e-01	4.119968e-01	6.631394e-02	1.904585e-01	-1.241446e-01
113           	1.571464e-01	4.119598e-01	6.634592e-02	1.903194e-01	-1.239734e-01
114           	1.570077e-01	4.119370e-01	6.633075e-02	1.901731e-01	-1.238423e-01
115           	1.569046e-01	4.119566e-01	6.631801e-02	1.900636e-01	-1.237456e-01
